,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
knocking,11,2.806122449,first,21,5.289672544,woman,7,1.674641148,witch,31,5.950095969,murderer,29,6.744186047,witch,14,3.333333333,second,10,2.369668246,banquo,22,5.365853659,banquo,22,5.445544554,siward,23,4.925053533
knock,8,2.040816327,men,10,2.518891688,fly,6,1.435406699,cawdor,20,3.838771593,banquo,18,4.186046512,poor,13,3.095238095,wisdom,6,1.421800948,duncan,12,2.926829268,stand,10,2.475247525,doctor,23,4.925053533
donalbain,8,2.040816327,lord,8,2.01511335,messenger,5,1.196172249,thane,17,3.262955854,lord,13,3.023255814,son,12,2.857142857,third,6,1.421800948,both,7,1.707317073,fleance,7,1.732673267,she,13,2.78372591
old,7,1.785714286,into,6,1.511335013,gracious,4,0.956937799,duncan,15,2.879078695,ay,8,1.860465116,first,11,2.619047619,hear,6,1.421800948,thane,6,1.463414634,knocking,6,1.485148515,dunsinane,10,2.141327623
deed,6,1.530612245,lost,5,1.259445844,off,4,0.956937799,first,14,2.687140115,ere,7,1.627906977,each,6,1.428571429,fly,5,1.184834123,angus,5,1.219512195,some,5,1.237623762,lord,9,1.927194861
made,6,1.530612245,son,5,1.259445844,colours,4,0.956937799,hail,11,2.111324376,fleance,6,1.395348837,double,6,1.428571429,kings,5,1.184834123,against,5,1.219512195,daggers,5,1.237623762,bed,8,1.713062099
o,6,1.530612245,often,4,1.007556675,hear,4,0.956937799,strange,6,1.151631478,without,6,1.395348837,new,6,1.428571429,bloody,4,0.947867299,peace,5,1.219512195,hear,4,0.99009901,young,8,1.713062099
chamber,6,1.530612245,sit,4,1.007556675,little,4,0.956937799,only,6,1.151631478,palace,6,1.395348837,father,5,1.19047619,hold,4,0.947867299,further,5,1.219512195,shake,4,0.99009901,soldiers,7,1.498929336
hands,6,1.530612245,health,4,1.007556675,fight,4,0.956937799,third,5,0.959692898,both,5,1.162790698,england,5,1.19047619,power,4,0.947867299,welcome,4,0.975609756,murder,4,0.99009901,birnam,7,1.498929336
bloody,5,1.275510204,welcome,4,1.007556675,knows,4,0.956937799,thine,5,0.959692898,first,5,1.162790698,o,4,0.952380952,scotland,4,0.947867299,whence,4,0.975609756,business,3,0.742574257,wood,7,1.498929336
left,4,1.020408163,only,4,1.007556675,any,4,0.956937799,banquo,5,0.959692898,court,4,0.930232558,honest,4,0.952380952,harm,4,0.947867299,glamis,4,0.975609756,knock,3,0.742574257,thanes,5,1.070663812
father,4,1.020408163,second,4,1.007556675,born,4,0.956937799,castle,4,0.767754319,please,4,0.930232558,ay,4,0.952380952,many,4,0.947867299,second,4,0.975609756,is't,3,0.742574257,servant,5,1.070663812
some,3,0.765306122,breed,3,0.755667506,she,4,0.956937799,children,4,0.767754319,strange,4,0.930232558,tell,4,0.952380952,root,4,0.947867299,TRUE,4,0.975609756,said,3,0.742574257,fight,5,1.070663812
who's,3,0.765306122,third,3,0.755667506,sword,4,0.956937799,forres,4,0.767754319,friends,4,0.930232558,myself,4,0.952380952,hecate,4,0.947867299,thick,3,0.731707317,castle,3,0.742574257,near,5,1.070663812
