,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
bottom,16,3.232323232,oberon,26,5.473684211,play,16,3.791469194,quince,20,4.87804878,pyramus,15,3.289473684,theseus,29,6.430155211,wall,22,4.943820225,bottom,14,3.16027088,wood,9,2.290076336,i'll,21,4.751131222
had,9,1.818181818,fairy,14,2.947368421,quince,10,2.369668246,bottom,11,2.682926829,bottom,12,2.631578947,thisbe,13,2.88248337,pyramus,18,4.04494382,titania,13,2.934537246,bed,7,1.781170483,puck,18,4.07239819
like,9,1.818181818,titania,14,2.947368421,thisby,10,2.369668246,beard,7,1.707317073,re-enter,9,1.973684211,moonshine,11,2.43902439,through,10,2.247191011,sleep,9,2.031602709,sometime,7,1.781170483,thus,11,2.488687783
quince,8,1.616161616,puck,8,1.684210526,bottom,9,2.132701422,theseus,7,1.707317073,snout,8,1.754385965,pyramus,10,2.2172949,theseus,9,2.02247191,theseus,8,1.805869074,oberon,6,1.526717557,hast,8,1.809954751
two,8,1.616161616,boy,7,1.473684211,well,8,1.895734597,father's,6,1.463414634,puck,7,1.535087719,play,10,2.2172949,thisbe,7,1.573033708,had,7,1.58013544,near,6,1.526717557,art,8,1.809954751
puck,7,1.414141414,fear,6,1.263157895,pyramus,8,1.895734597,duke,5,1.219512195,sport,7,1.535087719,hippolyta,9,1.99556541,lovers,6,1.348314607,quince,7,1.58013544,well,5,1.272264631,sleep,6,1.357466063
mustardseed,6,1.212121212,power,5,1.052631579,were,8,1.895734597,either,5,1.219512195,o'er,7,1.535087719,dead,7,1.55210643,philostrate,6,1.348314607,music,7,1.58013544,sake,5,1.272264631,sleeping,5,1.131221719
through,6,1.212121212,therefore,5,1.052631579,starveling,7,1.658767773,father,5,1.219512195,who,6,1.315789474,ever,7,1.55210643,hippolyta,6,1.348314607,us,7,1.58013544,place,5,1.272264631,follow,5,1.131221719
way,6,1.212121212,stay,5,1.052631579,voice,7,1.658767773,egeus,4,0.975609756,scorn,5,1.096491228,think,6,1.33037694,thus,6,1.348314607,egeus,6,1.354401806,hence,5,1.272264631,shalt,4,0.904977376
titania,6,1.212121212,seek,5,1.052631579,forth,6,1.421800948,roar,4,0.975609756,hate,5,1.096491228,like,6,1.33037694,very,5,1.123595506,like,6,1.354401806,lady,5,1.272264631,therefore,4,0.904977376
nay,5,1.01010101,land,5,1.052631579,flute,6,1.421800948,therefore,4,0.975609756,art,5,1.096491228,well,5,1.10864745,die,5,1.123595506,duke,5,1.128668172,fairy,4,1.017811705,desire,4,0.904977376
cobweb,5,1.01010101,love's,4,0.842105263,peter,6,1.421800948,were,4,0.975609756,well,4,0.877192982,philostrate,5,1.10864745,lanthorn,4,0.898876404,came,5,1.128668172,charm,4,1.017811705,company,4,0.904977376
shine,5,1.01010101,gone,4,0.842105263,egeus,5,1.184834123,any,4,0.975609756,weak,4,0.877192982,prologue,5,1.10864745,thisby,4,0.898876404,methought,5,1.128668172,who,4,1.017811705,another,4,0.904977376
harm,4,0.808080808,off,4,0.842105263,keep,5,1.184834123,ever,4,0.975609756,thisby,4,0.877192982,nothing,5,1.10864745,silence,4,0.898876404,cobweb,5,1.128668172,young,4,1.017811705,stay,4,0.904977376
both,4,0.808080808,lie,4,0.842105263,right,5,1.184834123,marry,4,0.975609756,snug,4,0.877192982,wall,4,0.88691796,joy,4,0.898876404,own,4,0.902934537,bear,4,1.017811705,bottom,4,0.904977376
flute,4,0.808080808,through,4,0.842105263,else,4,0.947867299,us,4,0.975609756,master,4,0.877192982,vile,4,0.88691796,noble,4,0.898876404,oberon,4,0.902934537,flower,4,1.017811705,well,3,0.678733032
whose,4,0.808080808,though,4,0.842105263,hermia's,4,0.947867299,happy,3,0.731707317,wood,4,0.877192982,hand,4,0.88691796,discourse,4,0.898876404,puck,4,0.902934537,titania,4,1.017811705,summer,3,0.678733032
could,4,0.808080808,hated,4,0.842105263,name,3,0.710900474,name,3,0.731707317,prologue,4,0.877192982,show,4,0.88691796,us,4,0.898876404,flute,4,0.902934537,into,3,0.763358779,blood,3,0.678733032
sleeps,4,0.808080808,song,3,0.631578947,ear,3,0.710900474,to-morrow,3,0.731707317,light,4,0.877192982,fairy,4,0.88691796,three,4,0.898876404,methinks,4,0.902934537,thing,3,0.763358779,fairies,3,0.678733032
little,4,0.808080808,about,3,0.631578947,great,3,0.710900474,house,3,0.731707317,ay,4,0.877192982,friends,4,0.88691796,chink,3,0.674157303,hippolyta,4,0.902934537,queen,3,0.763358779,think,3,0.678733032
bring,4,0.808080808,queen,3,0.631578947,grow,3,0.710900474,youth,3,0.731707317,gentleman,4,0.877192982,dance,4,0.88691796,house,3,0.674157303,peaseblossom,4,0.902934537,find,3,0.763358779,elves,3,0.678733032
follow,4,0.808080808,find,3,0.631578947,both,3,0.710900474,single,3,0.731707317,name,3,0.657894737,please,3,0.66518847,two,3,0.674157303,truly,3,0.677200903,end,3,0.763358779,two,3,0.678733032
prove,4,0.808080808,reason,3,0.631578947,desire,3,0.710900474,could,3,0.731707317,keep,3,0.657894737,wonder,3,0.66518847,told,3,0.674157303,thing,3,0.677200903,grove,3,0.763358779,wherefore,3,0.678733032
alone,4,0.808080808,juice,3,0.631578947,i'll,3,0.710900474,unto,3,0.731707317,says,3,0.657894737,name,3,0.66518847,discretion,3,0.674157303,seems,3,0.677200903,get,3,0.763358779,together,3,0.678733032
till,4,0.808080808,sing,3,0.631578947,mind,3,0.710900474,heaven,3,0.731707317,ho,3,0.657894737,lovers,3,0.66518847,dog,3,0.674157303,bid,3,0.677200903,further,3,0.763358779,those,3,0.678733032
peaseblossom,4,0.808080808,once,3,0.631578947,rest,3,0.710900474,hippolyta,3,0.731707317,other,3,0.657894737,strange,3,0.66518847,off,3,0.674157303,fairies,3,0.677200903,stolen,3,0.763358779,bear,3,0.678733032
well,3,0.606060606,two,3,0.631578947,whom,3,0.710900474,through,3,0.731707317,vows,3,0.657894737,fates,3,0.66518847,rest,3,0.674157303,awake,3,0.677200903,world,3,0.763358779,round,3,0.678733032
answer,3,0.606060606,breath,3,0.631578947,thought,3,0.710900474,law,3,0.731707317,quince,3,0.657894737,time,3,0.66518847,welcome,3,0.674157303,wake,3,0.677200903,green,3,0.763358779,FALSE,3,0.678733032
lead,3,0.606060606,were,3,0.631578947,masters,3,0.710900474,ladies,3,0.731707317,strike,3,0.657894737,puck,3,0.66518847,whisper,3,0.674157303,get,3,0.677200903,wild,3,0.763358779,use,3,0.678733032
met,3,0.606060606,rest,3,0.631578947,hang,3,0.710900474,old,3,0.731707317,hail,3,0.657894737,adieu,3,0.66518847,light,3,0.674157303,fairy,3,0.677200903,said,3,0.763358779,wakest,3,0.678733032
even,3,0.606060606,lies,3,0.631578947,theseus,3,0.710900474,four,3,0.731707317,gone,3,0.657894737,passion,3,0.66518847,masters,3,0.674157303,starveling,3,0.677200903,foolish,3,0.763358779,sense,3,0.678733032
trust,3,0.606060606,following,3,0.631578947,catch,2,0.473933649,lover,3,0.731707317,fear,3,0.657894737,fear,3,0.66518847,well,2,0.449438202,wont,3,0.677200903,set,3,0.763358779,remedy,2,0.452488688
nymph,3,0.606060606,bosoms,3,0.631578947,disfigure,2,0.473933649,choice,3,0.731707317,bless,3,0.657894737,lips,3,0.66518847,thisby's,2,0.449438202,play,3,0.677200903,theseus,3,0.763358779,fetch,2,0.452488688
beg,3,0.606060606,earth,3,0.631578947,blood,2,0.473933649,lady,3,0.731707317,truth,3,0.657894737,truth,3,0.66518847,tedious,2,0.449438202,mustardseed,3,0.677200903,ay,3,0.763358779,lying,2,0.452488688
though,3,0.606060606,till,3,0.631578947,to-morrow,2,0.473933649,proceed,2,0.487804878,dead,3,0.657894737,each,3,0.66518847,look'd,2,0.449438202,ass,3,0.677200903,changeling,2,0.508905852,into,2,0.452488688
lies,3,0.606060606,side,3,0.631578947,against,2,0.473933649,slow,2,0.487804878,mustardseed,3,0.657894737,thus,3,0.66518847,truly,2,0.449438202,follow,3,0.677200903,pluck,2,0.508905852,spurn,2,0.452488688
hither,3,0.606060606,change,2,0.421052632,myself,2,0.473933649,snout,2,0.487804878,through,3,0.657894737,brief,3,0.66518847,spy,2,0.449438202,horns,3,0.677200903,hands,2,0.508905852,crow,2,0.452488688
thine,3,0.606060606,help,2,0.421052632,perceive,2,0.473933649,power,2,0.487804878,lies,3,0.657894737,lover,3,0.66518847,place,2,0.449438202,new,3,0.677200903,holds,2,0.508905852,sad,2,0.452488688
bond,3,0.606060606,hateful,2,0.421052632,hell,2,0.473933649,demetrius',2,0.487804878,thisby's,2,0.438596491,valour,3,0.66518847,full,2,0.449438202,hounds,3,0.677200903,against,2,0.508905852,queen,2,0.452488688
sport,3,0.606060606,poor,2,0.421052632,other,2,0.473933649,blood,2,0.487804878,own,2,0.438596491,between,3,0.66518847,song,2,0.449438202,fetch,2,0.451467269,harm,2,0.508905852,seem,2,0.452488688
set,3,0.606060606,other,2,0.421052632,joiner,2,0.473933649,myself,2,0.487804878,forth,2,0.438596491,die,3,0.66518847,excuse,2,0.449438202,doubt,2,0.451467269,ear,2,0.508905852,black,2,0.452488688
ready,3,0.606060606,moonlight,2,0.421052632,oath,2,0.473933649,thanks,2,0.487804878,pity,2,0.438596491,bed,2,0.44345898,present,2,0.449438202,wonder,2,0.451467269,after,2,0.508905852,oath,2,0.452488688
son,3,0.606060606,sees,2,0.421052632,think,2,0.473933649,according,2,0.487804878,poor,2,0.438596491,palace,2,0.44345898,sees,2,0.449438202,happy,2,0.451467269,cupid's,2,0.508905852,spirits,2,0.452488688
done,3,0.606060606,sleeping,2,0.421052632,case,2,0.473933649,virgin,2,0.487804878,lovers,2,0.438596491,hands,2,0.44345898,already,2,0.449438202,snout,2,0.451467269,cupid,2,0.508905852,sword,2,0.452488688
longer,2,0.404040404,scorn,2,0.421052632,vows,2,0.473933649,time,2,0.487804878,promise,2,0.438596491,pity,2,0.44345898,find,2,0.449438202,power,2,0.451467269,loves,2,0.508905852,oberon,2,0.452488688
own,2,0.404040404,lead,2,0.421052632,hast,2,0.473933649,bow,2,0.487804878,present,2,0.438596491,better,2,0.44345898,hast,2,0.449438202,about,2,0.451467269,king,2,0.508905852,both,2,0.452488688
into,2,0.404040404,met,2,0.421052632,therefore,2,0.473933649,pursue,2,0.487804878,oberon,2,0.438596491,poor,2,0.44345898,shadows,2,0.449438202,lovers,2,0.451467269,hast,2,0.508905852,dost,2,0.452488688
thing,2,0.404040404,changed,2,0.421052632,measure,2,0.473933649,flute,2,0.487804878,lead,2,0.438596491,great,2,0.44345898,lay,2,0.449438202,night's,2,0.451467269,awake,2,0.508905852,field,2,0.452488688
spite,2,0.404040404,ground,2,0.421052632,time,2,0.473933649,adieu,2,0.487804878,draws,2,0.438596491,lanthorn,2,0.44345898,bush,2,0.449438202,queen,2,0.451467269,quince,2,0.508905852,reason,2,0.452488688
snout,2,0.404040404,pyramus,2,0.421052632,falls,2,0.473933649,yourselves,2,0.487804878,sing,2,0.438596491,oberon,2,0.44345898,coming,2,0.449438202,other,2,0.451467269,high,2,0.508905852,bird,2,0.452488688
pity,2,0.404040404,shape,2,0.421052632,hair,2,0.473933649,company,2,0.487804878,looks,2,0.438596491,saw,2,0.44345898,else,2,0.449438202,temple,2,0.451467269,eyne,2,0.508905852,waxen,2,0.452488688
full,2,0.404040404,strike,2,0.421052632,snug,2,0.473933649,while,2,0.487804878,get,2,0.438596491,thisby,2,0.44345898,snow,2,0.449438202,think,2,0.451467269,pursue,2,0.508905852,lose,2,0.452488688
serpent,2,0.404040404,favours,2,0.421052632,fault,2,0.473933649,himself,2,0.487804878,once,2,0.438596491,hop,2,0.44345898,revels,2,0.449438202,lion's,2,0.451467269,born,2,0.508905852,hand,2,0.452488688
ear,2,0.404040404,home,2,0.421052632,sleep,2,0.473933649,actors,2,0.487804878,i'll,2,0.438596491,ninny's,2,0.44345898,himself,2,0.449438202,train,2,0.451467269,wake,2,0.508905852,horse,2,0.452488688
loves,2,0.404040404,awaking,2,0.421052632,oft,2,0.473933649,themselves,2,0.487804878,whose,2,0.438596491,gait,2,0.44345898,needs,2,0.449438202,ground,2,0.451467269,angry,2,0.508905852,woman,2,0.452488688
grow,2,0.404040404,content,2,0.421052632,low,2,0.473933649,read,2,0.487804878,told,2,0.438596491,discretion,2,0.44345898,wit,2,0.449438202,sing,2,0.451467269,compare,2,0.508905852,gone,2,0.452488688
chide,2,0.404040404,another,2,0.421052632,could,2,0.473933649,town,2,0.487804878,themselves,2,0.438596491,trust,2,0.44345898,fairy,2,0.449438202,house,2,0.451467269,civil,2,0.508905852,since,2,0.452488688
awake,2,0.404040404,over,2,0.421052632,sickness,2,0.473933649,philostrate,2,0.487804878,deep,2,0.438596491,fall,2,0.44345898,duty,2,0.449438202,snug,2,0.451467269,certain,2,0.508905852,flout,2,0.452488688
therefore,2,0.404040404,speed,2,0.421052632,steal,2,0.473933649,turn,2,0.487804878,many,2,0.438596491,gone,2,0.44345898,unto,2,0.449438202,solemnity,2,0.451467269,fear,2,0.508905852,sex,2,0.452488688
dost,2,0.404040404,mark,2,0.421052632,fit,2,0.473933649,young,2,0.487804878,indeed,2,0.438596491,since,2,0.44345898,moonshine,2,0.449438202,hand,2,0.451467269,lie,2,0.508905852,fresh,2,0.452488688
bush,2,0.404040404,herb,2,0.421052632,any,2,0.473933649,rehearse,2,0.487804878,force,2,0.438596491,duty,2,0.44345898,pale,2,0.449438202,sent,2,0.451467269,fond,2,0.508905852,breath,2,0.452488688
pyramus,2,0.404040404,creep,2,0.421052632,pale,2,0.473933649,wood,2,0.487804878,play,2,0.438596491,rough-cast,2,0.44345898,stay,2,0.449438202,bless,2,0.451467269,fell,2,0.508905852,dote,2,0.452488688
thisby,2,0.404040404,asleep,2,0.421052632,ever,2,0.473933649,without,2,0.487804878,ever,2,0.438596491,very,2,0.44345898,beguiled,2,0.449438202,together,2,0.451467269,loved,2,0.508905852,sleeps,2,0.452488688
house,2,0.404040404,playing,2,0.421052632,wood,2,0.473933649,man's,2,0.487804878,each,2,0.438596491,breast,2,0.44345898,art,2,0.449438202,fell,2,0.451467269,asleep,2,0.508905852,green,2,0.452488688
behind,2,0.404040404,ripe,2,0.421052632,kind,2,0.473933649,daughter,2,0.487804878,little,2,0.438596491,offend,2,0.44345898,kill,2,0.449438202,could,2,0.451467269,mistress,2,0.508905852,quite,2,0.452488688
'tis,2,0.404040404,air,2,0.421052632,vein,2,0.473933649,nuptial,2,0.487804878,mistress,2,0.438596491,tomb,2,0.44345898,run,2,0.449438202,very,2,0.451467269,run,2,0.508905852,presence,2,0.452488688
stolen,2,0.404040404,melody,2,0.421052632,friends,2,0.473933649,perfect,2,0.487804878,kill,2,0.438596491,without,2,0.44345898,came,2,0.449438202,asleep,2,0.451467269,ill,2,0.508905852,dew,2,0.452488688
horse,2,0.404040404,pale,2,0.421052632,aye,2,0.473933649,entreat,2,0.487804878,run,2,0.438596491,might,2,0.44345898,horns,2,0.449438202,anon,2,0.451467269,work,2,0.508905852,unto,2,0.452488688
goes,2,0.404040404,is't,2,0.421052632,soul,2,0.473933649,follow'd,2,0.487804878,fire,2,0.438596491,approach,2,0.44345898,wilt,2,0.449438202,near,2,0.451467269,through,2,0.508905852,appear,2,0.452488688
mortal,2,0.404040404,left,2,0.421052632,league,2,0.473933649,consent,2,0.487804878,believe,2,0.438596491,kiss,2,0.44345898,nuptial,2,0.449438202,any,2,0.451467269,rude,2,0.508905852,yonder,2,0.452488688
show,2,0.404040404,story,2,0.421052632,lover,2,0.473933649,hope,2,0.487804878,ass,2,0.438596491,dies,2,0.44345898,brief,2,0.449438202,dew,2,0.451467269,approach,2,0.508905852,wood,2,0.452488688
gone,2,0.404040404,those,2,0.421052632,live,2,0.473933649,because,2,0.487804878,follow,2,0.438596491,fled,2,0.44345898,often,2,0.449438202,far,2,0.451467269,dance,2,0.508905852,rest,2,0.452488688
fear,2,0.404040404,kill,2,0.421052632,us,2,0.473933649,like,2,0.487804878,though,2,0.438596491,thank,2,0.44345898,earth,2,0.449438202,ask,2,0.451467269,wrong,2,0.508905852,joy,2,0.452488688
haste,2,0.404040404,friend,2,0.421052632,yea,2,0.473933649,bed,1,0.243902439,nay,2,0.438596491,worse,2,0.44345898,till,2,0.449438202,wood,2,0.451467269,us,2,0.508905852,came,2,0.452488688
