,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,,,,,,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,,,,,,,
benvolio,26,5.189620758,servant,19,3.145695364,friar,15,2.688172043,friar,27,4.333868379,benvolio,23,3.95869191,laurence,17,2.728731942,friar,25,4.222972973,mercutio,44,7.394957983,eyes,11,1.909722222,mercutio,20,3.273322422,,,-0.016061538,,-0.02799697,,0.015266667
eyes,10,1.996007984,montague,16,2.649006623,'tis,10,1.792114695,balthasar,17,2.728731942,'tis,17,2.925989673,friar,15,2.407704655,laurence,11,1.858108108,were,12,2.016806723,cousin,8,1.388888889,benvolio,17,2.782324059,,,0.015894118,,0.022755263,,0.022528571
montague,9,1.796407186,old,9,1.490066225,like,10,1.792114695,laurence,15,2.407704655,who,11,1.893287435,peter,14,2.247191011,other,9,1.52027027,very,12,2.016806723,hate,8,1.388888889,word,13,2.127659574,,,0.000339241,,-0.002083951,,0.006732743
old,8,1.596806387,lips,9,1.490066225,laurence,8,1.433691756,prince,14,2.247191011,ay,8,1.376936317,help,12,1.926163724,were,9,1.52027027,name,11,1.848739496,end,8,1.388888889,prince,10,1.636661211,,,0.054780702,,0.021611364,,0.000126966
'tis,7,1.397205589,makes,7,1.158940397,use,7,1.254480287,letter,8,1.284109149,o'er,8,1.376936317,she's,8,1.284109149,any,8,1.351351351,god,9,1.512605042,speak,8,1.388888889,madam,8,1.309328969,,,-0.041684416,,-0.009868056,,0.035728713
gentleman,6,1.19760479,show,7,1.158940397,child,6,1.075268817,page,8,1.284109149,dream,7,1.204819277,county,8,1.284109149,says,7,1.182432432,joy,9,1.512605042,villain,7,1.215277778,tears,7,1.145662848,,,0.028836986,,0.024421127,,0.028632143
prove,5,0.998003992,mercutio,6,0.993377483,prince,6,1.075268817,john,8,1.284109149,mercutio,6,1.032702238,to-morrow,8,1.284109149,nay,7,1.182432432,news,7,1.176470588,friar,7,1.215277778,friar,7,1.145662848,,,0.023586667,,-0.004914474,,-0.0370625
heavy,5,0.998003992,god,6,0.993377483,heart,6,1.075268817,montague,7,1.123595506,forget,6,1.032702238,play,7,1.123595506,soon,6,1.013513514,speak,7,1.176470588,he's,7,1.215277778,comfort,7,1.145662848,,,0.026427632,,0.0424,,0.032297
word,5,0.998003992,gentlemen,6,0.993377483,villain,5,0.896057348,came,7,1.123595506,nay,6,1.032702238,like,7,1.123595506,means,5,0.844594595,dost,6,1.008403361,laurence,7,1.215277778,late,6,0.981996727,,,-0.019687838,,0.009147887,,0.020122222
rich,5,0.998003992,like,6,0.993377483,husband,5,0.896057348,master,7,1.123595506,beauty,6,1.032702238,woful,7,1.123595506,cell,5,0.844594595,like,6,1.008403361,slain,7,1.215277778,soon,6,0.981996727,,,0.008397403,,-0.023407143,,-0.00149913
heart,5,0.998003992,verona,6,0.993377483,because,5,0.896057348,torch,6,0.963081862,years,6,1.032702238,haste,7,1.123595506,send,5,0.844594595,that's,6,1.008403361,friend,7,1.215277778,o',6,0.981996727,,,0.008082896,,0.005206505,,0.01228734
only,4,0.798403194,bound,6,0.993377483,company,5,0.896057348,get,6,0.963081862,eye,6,1.032702238,silver,6,0.963081862,high,5,0.844594595,who,6,1.008403361,lives,6,1.041666667,thought,6,0.981996727,,,,,,,
we'll,4,0.798403194,benvolio,5,0.82781457,chamber,5,0.896057348,mantua,6,0.963081862,put,5,0.860585198,god,6,0.963081862,pale,5,0.844594595,laurence,6,1.008403361,who,6,1.041666667,slain,6,0.981996727,,,,,,,
through,4,0.798403194,boy,5,0.82781457,own,5,0.896057348,vault,6,0.963081862,feast,5,0.860585198,musicians,6,0.963081862,young,5,0.844594595,peter,6,1.008403361,happy,6,1.041666667,black,6,0.981996727,,,,,,,
maid,4,0.798403194,while,5,0.82781457,hot,5,0.896057348,tomb,5,0.802568218,sword,5,0.860585198,put,6,0.963081862,man's,4,0.675675676,eye,6,1.008403361,thine,5,0.868055556,ay,5,0.818330606,,,,,,,
secret,4,0.798403194,feel,5,0.82781457,mercutio,4,0.716845878,ground,5,0.802568218,madam,5,0.860585198,madam,6,0.963081862,tomb,4,0.675675676,any,5,0.840336134,noble,5,0.868055556,little,5,0.818330606,,,,,,,
nine,4,0.798403194,villain,4,0.662251656,ever,4,0.716845878,lips,5,0.802568218,hands,5,0.860585198,servant,6,0.963081862,sorrow,4,0.675675676,sun,5,0.840336134,quarrel,5,0.868055556,husband,5,0.818330606,,,,,,,
young,4,0.798403194,days,4,0.662251656,done,4,0.716845878,fear,5,0.802568218,own,5,0.860585198,tears,6,0.963081862,thyself,4,0.675675676,words,5,0.840336134,shalt,5,0.868055556,mother,5,0.818330606,,,,,,,
speak,4,0.798403194,turn,4,0.662251656,arm,4,0.716845878,monument,5,0.802568218,among,4,0.688468158,child,6,0.963081862,strange,4,0.675675676,rosaline,5,0.840336134,break,4,0.694444444,wit,4,0.654664484,,,,,,,
anon,3,0.598802395,bite,4,0.662251656,kinsman,4,0.716845878,county,4,0.642054575,measure,4,0.688468158,marry,6,0.963081862,kill,4,0.675675676,love's,5,0.840336134,any,4,0.694444444,tongue,4,0.654664484,,,,,,,
hours,3,0.598802395,name,4,0.662251656,thursday,4,0.716845878,open,4,0.642054575,like,4,0.688468158,heart,6,0.963081862,murder,4,0.675675676,way,5,0.840336134,other,4,0.694444444,slew,4,0.654664484,,,,,,,
wall,3,0.598802395,pray,4,0.662251656,marry,4,0.716845878,desperate,4,0.642054575,'ay',4,0.688468158,ay,5,0.802568218,name,4,0.675675676,honest,5,0.840336134,old,4,0.694444444,days,4,0.654664484,,,,,,,
many,3,0.598802395,o',4,0.662251656,speak,4,0.716845878,youth,4,0.642054575,were,4,0.688468158,alack,5,0.802568218,mistress,4,0.675675676,letter,4,0.672268908,calls,4,0.694444444,houses,4,0.654664484,,,,,,,
yonder,3,0.598802395,let's,4,0.662251656,change,3,0.537634409,flowers,4,0.642054575,read,4,0.688468158,fear,5,0.802568218,else,4,0.675675676,tale,4,0.672268908,draw,4,0.694444444,church,4,0.654664484,,,,,,,
ye,3,0.598802395,young,4,0.662251656,behold,3,0.537634409,leave,4,0.642054575,maids,4,0.688468158,things,5,0.802568218,pardon,4,0.675675676,word,4,0.672268908,montague,4,0.694444444,joy,4,0.654664484,,,,,,,
meet,3,0.598802395,world,3,0.496688742,best,3,0.537634409,brother,4,0.642054575,deep,4,0.688468158,ever,4,0.642054575,cheek,4,0.675675676,though,4,0.672268908,indeed,4,0.694444444,who,4,0.654664484,,,,,,,
pray,3,0.598802395,mind,3,0.496688742,thank,3,0.537634409,cell,4,0.642054575,seen,4,0.688468158,shalt,4,0.642054575,new,4,0.675675676,marry,4,0.672268908,came,4,0.694444444,fortune,4,0.654664484,,,,,,,
kind,3,0.598802395,ancient,3,0.496688742,corse,3,0.537634409,looks,4,0.642054575,marry,4,0.688468158,because,4,0.642054575,short,4,0.675675676,breath,4,0.672268908,like,4,0.694444444,heart,4,0.654664484,,,,,,,
lent,3,0.598802395,shows,3,0.496688742,exile,3,0.537634409,law,4,0.642054575,wit,3,0.516351119,merry,4,0.642054575,dare,3,0.506756757,jest,4,0.672268908,bring,4,0.694444444,world,3,0.490998363,,,,,,,
swear,3,0.598802395,move,3,0.496688742,friends,3,0.537634409,noise,4,0.642054575,cousin,3,0.516351119,very,4,0.642054575,ghostly,3,0.506756757,commend,4,0.672268908,saint,4,0.694444444,cousin,3,0.490998363,,,,,,,
foot,3,0.598802395,ear,3,0.496688742,capulet's,3,0.537634409,world,3,0.481540931,pretty,3,0.516351119,cold,4,0.642054575,stop,3,0.506756757,world,3,0.504201681,thousand,4,0.694444444,county,3,0.490998363,,,,,,,
happy,3,0.598802395,late,3,0.496688742,sound,3,0.537634409,empty,3,0.481540931,wall,3,0.516351119,past,4,0.642054575,gentlemen,3,0.506756757,a',3,0.504201681,news,4,0.694444444,didst,3,0.490998363,,,,,,,
fire,3,0.598802395,dies,3,0.496688742,benvolio,3,0.537634409,morning,3,0.481540931,thus,3,0.516351119,lamentable,4,0.642054575,air,3,0.506756757,envious,3,0.504201681,thursday,4,0.694444444,might,3,0.490998363,,,,,,,
peter,3,0.598802395,only,3,0.496688742,case,3,0.537634409,others,3,0.481540931,old,3,0.516351119,best,3,0.481540931,every,3,0.506756757,case,3,0.504201681,himself,3,0.520833333,kill,3,0.490998363,,,,,,,
hit,3,0.598802395,wall,3,0.496688742,sorrow,3,0.537634409,boy,3,0.481540931,dance,3,0.516351119,hours,3,0.481540931,found,3,0.506756757,speaks,3,0.504201681,heavy,3,0.520833333,once,3,0.490998363,,,,,,,
counsel,2,0.399201597,heads,3,0.496688742,to-morrow,3,0.537634409,writ,3,0.481540931,draw,3,0.516351119,fingers,3,0.481540931,answer,3,0.506756757,many,3,0.504201681,benvolio,3,0.520833333,verona,3,0.490998363,,,,,,,
i',2,0.399201597,honour,3,0.496688742,thyself,3,0.537634409,news,3,0.481540931,done,3,0.516351119,needs,3,0.481540931,foe,3,0.506756757,wear,3,0.504201681,we'll,3,0.520833333,pray,3,0.490998363,,,,,,,
mercutio,2,0.399201597,lover,3,0.496688742,god,3,0.537634409,love's,3,0.481540931,lives,3,0.516351119,music,3,0.481540931,like,3,0.506756757,heart's,3,0.504201681,weep,3,0.520833333,bold,3,0.490998363,,,,,,,
ear,2,0.399201597,thine,3,0.496688742,cords,3,0.537634409,need,3,0.481540931,supper,3,0.516351119,cruel,3,0.481540931,bring,3,0.506756757,orchard,3,0.504201681,dost,3,0.520833333,thursday,3,0.490998363,,,,,,,
capulet's,2,0.399201597,right,3,0.496688742,ye,3,0.537634409,warm,3,0.481540931,scorn,3,0.516351119,many,3,0.481540931,dwell,3,0.506756757,meet,3,0.504201681,sun,3,0.520833333,law,3,0.490998363,,,,,,,
sudden,2,0.399201597,sun,3,0.496688742,strength,3,0.537634409,full,3,0.481540931,spoke,3,0.516351119,fetch,3,0.481540931,swift,3,0.506756757,bones,3,0.504201681,beg,3,0.520833333,laurence,3,0.490998363,,,,,,,
dark,2,0.399201597,capulets,3,0.496688742,leave,3,0.537634409,remember,3,0.481540931,asleep,3,0.516351119,get,3,0.481540931,hie,3,0.506756757,tears,3,0.504201681,name,3,0.520833333,ha,3,0.490998363,,,,,,,
case,2,0.399201597,were,3,0.496688742,chide,3,0.537634409,took,3,0.481540931,leave,3,0.516351119,vault,3,0.481540931,who,3,0.506756757,forsworn,3,0.504201681,hell,3,0.520833333,times,3,0.490998363,,,,,,,
daylight,2,0.399201597,mantua,3,0.496688742,pardon,3,0.537634409,search,3,0.481540931,room,3,0.516351119,stir,3,0.481540931,thousand,3,0.506756757,cell,3,0.504201681,sword,3,0.520833333,mercy,3,0.490998363,,,,,,,
dost,2,0.399201597,talk,3,0.496688742,cousin's,3,0.537634409,pale,3,0.481540931,you'll,3,0.516351119,cell,3,0.481540931,very,3,0.506756757,walls,3,0.504201681,were,3,0.520833333,falls,3,0.490998363,,,,,,,
children,2,0.399201597,who,3,0.496688742,eyes,3,0.537634409,dagger,3,0.481540931,montagues,3,0.516351119,send,3,0.481540931,here's,3,0.506756757,swear,3,0.504201681,bark,3,0.520833333,unless,3,0.490998363,,,,,,,
turn,2,0.399201597,women,3,0.496688742,hair,3,0.537634409,lady's,2,0.321027287,swords,3,0.516351119,buried,3,0.481540931,ran,3,0.506756757,flower,3,0.504201681,talk,3,0.520833333,eye,3,0.490998363,,,,,,,
bite,2,0.399201597,fool,3,0.496688742,breath,3,0.537634409,nightly,2,0.321027287,ears,3,0.516351119,thursday,3,0.481540931,anon,2,0.337837838,knave,3,0.504201681,send,3,0.520833333,haste,3,0.490998363,,,,,,,
desperate,2,0.399201597,love's,3,0.496688742,next,3,0.537634409,dies,2,0.321027287,signior,3,0.516351119,bridegroom,3,0.481540931,enemy,2,0.337837838,return,3,0.504201681,last,3,0.520833333,shape,3,0.490998363,,,,,,,
morning,2,0.399201597,moved,3,0.496688742,turns,2,0.358422939,cousin,2,0.321027287,book,3,0.516351119,full,3,0.481540931,ay,2,0.337837838,bright,3,0.504201681,sea,3,0.520833333,foolish,2,0.327332242,,,,,,,
home,2,0.399201597,having,3,0.496688742,price,2,0.358422939,yond,2,0.321027287,civil,3,0.516351119,warrant,3,0.481540931,fond,2,0.337837838,counsel,2,0.336134454,bosom,3,0.520833333,occasion,2,0.327332242,,,,,,,
right,2,0.399201597,mother,3,0.496688742,world,2,0.358422939,thus,2,0.321027287,wast,3,0.516351119,next,3,0.481540931,bless,2,0.337837838,cast,2,0.336134454,woes,3,0.520833333,welcome,2,0.327332242,,,,,,,
vanity,2,0.399201597,hall,3,0.496688742,honourable,2,0.358422939,wakes,2,0.321027287,fear,3,0.516351119,wit,2,0.321027287,best,2,0.337837838,ancient,2,0.336134454,body,3,0.520833333,hark,2,0.327332242,,,,,,,
lovers',2,0.399201597,new,3,0.496688742,slow,2,0.358422939,dost,2,0.321027287,straight,3,0.516351119,shut,2,0.321027287,half,2,0.337837838,himself,2,0.336134454,tybalt's,3,0.520833333,mark,2,0.327332242,,,,,,,
proof,2,0.399201597,heart,3,0.496688742,wednesday,2,0.358422939,something,2,0.321027287,even,3,0.516351119,move,2,0.321027287,sudden,2,0.337837838,sound,2,0.336134454,fine,3,0.520833333,near,2,0.327332242,,,,,,,
wits,2,0.399201597,anon,2,0.331125828,lady's,2,0.358422939,calls,2,0.321027287,welcome,2,0.344234079,corse,2,0.321027287,sad,2,0.337837838,benvolio,2,0.336134454,tender,3,0.520833333,state,2,0.327332242,,,,,,,
rude,2,0.399201597,enemy,2,0.331125828,ancient,2,0.358422939,banish'd,2,0.321027287,move,2,0.344234079,near,2,0.321027287,longer,2,0.337837838,excuse,2,0.336134454,ne'er,3,0.520833333,capulet's,2,0.327332242,,,,,,,
spite,2,0.399201597,ay,2,0.331125828,mouse,2,0.358422939,means,2,0.321027287,written,2,0.344234079,rouse,2,0.321027287,tongue,2,0.337837838,to-morrow,2,0.336134454,ready,3,0.520833333,sudden,2,0.327332242,,,,,,,
hers,2,0.399201597,seek,2,0.331125828,cure,2,0.358422939,alack,2,0.321027287,himself,2,0.344234079,pretty,2,0.321027287,forbear,2,0.337837838,flies,2,0.336134454,warrant,3,0.520833333,dog,2,0.327332242,,,,,,,
nought,2,0.399201597,pleasure,2,0.331125828,nightly,2,0.358422939,thine,2,0.321027287,little,2,0.344234079,we'll,2,0.321027287,day's,2,0.337837838,every,2,0.336134454,breath,3,0.520833333,foul,2,0.327332242,,,,,,,
bud,2,0.399201597,lady's,2,0.331125828,state,2,0.358422939,speed,2,0.321027287,only,2,0.344234079,hood,2,0.321027287,calls,2,0.337837838,wish,2,0.336134454,ay,2,0.347222222,weep,2,0.327332242,,,,,,,
twelve,2,0.399201597,best,2,0.331125828,dark,2,0.358422939,food,2,0.321027287,any,2,0.344234079,living,2,0.321027287,turn,2,0.337837838,lead,2,0.336134454,counsel,2,0.347222222,excuse,2,0.327332242,,,,,,,
awhile,2,0.399201597,mark,2,0.331125828,count,2,0.358422939,power,2,0.321027287,other,2,0.344234079,already,2,0.321027287,kinsmen,2,0.337837838,canst,2,0.336134454,den,2,0.347222222,thus,2,0.327332242,,,,,,,
camest,2,0.399201597,after,2,0.331125828,thanks,2,0.358422939,hear'st,2,0.321027287,dog,2,0.344234079,methinks,2,0.321027287,home,2,0.337837838,'tis,2,0.336134454,world,2,0.347222222,devil,2,0.327332242,,,,,,,
hadst,2,0.399201597,capulet's,2,0.331125828,sings,2,0.358422939,brief,2,0.321027287,golden,2,0.344234079,through,2,0.321027287,deceived,2,0.337837838,between,2,0.336134454,behold,2,0.347222222,old,2,0.327332242,,,,,,,
dreams,2,0.399201597,pretty,2,0.331125828,week,2,0.358422939,daughter's,2,0.321027287,brain,2,0.344234079,desperate,2,0.321027287,either,2,0.337837838,madam,2,0.336134454,shows,2,0.347222222,serve,2,0.327332242,,,,,,,
save,2,0.399201597,sorrows,2,0.331125828,[aside],2,0.358422939,husband,2,0.321027287,prologue,2,0.344234079,roses,2,0.321027287,draw,2,0.337837838,ours,2,0.336134454,envious,2,0.347222222,god,2,0.327332242,,,,,,,
airy,2,0.399201597,withal,2,0.331125828,speaks,2,0.358422939,chance,2,0.321027287,urged,2,0.344234079,morning,2,0.321027287,done,2,0.337837838,whom,2,0.336134454,after,2,0.347222222,banish'd,2,0.327332242,,,,,,,
supposed,2,0.399201597,east,2,0.331125828,satisfied,2,0.358422939,needy,2,0.321027287,[aside],2,0.344234079,answer,2,0.321027287,fought,2,0.337837838,shot,2,0.336134454,exile,2,0.347222222,coming,2,0.327332242,,,,,,,
maids,2,0.399201597,suit,2,0.331125828,every,2,0.358422939,put,2,0.321027287,thrust,2,0.344234079,lives,2,0.321027287,far,2,0.337837838,quickly,2,0.336134454,modesty,2,0.347222222,every,2,0.327332242,,,,,,,
chamber,2,0.399201597,yours,2,0.331125828,sun,2,0.358422939,kill,2,0.321027287,every,2,0.344234079,canst,2,0.321027287,lives,2,0.337837838,looks,2,0.336134454,joyful,2,0.347222222,either,2,0.327332242,,,,,,,
else,2,0.399201597,age,2,0.331125828,answer,2,0.358422939,bare,2,0.321027287,where's,2,0.344234079,servingmen,2,0.321027287,pass,2,0.337837838,[within],2,0.336134454,hang,2,0.347222222,brow,2,0.327332242,,,,,,,
